Dia,Codi estació,Nom estació,Volum (hm3)
21/07/2025,F019289,ATLL CGC - Blanes. ITAM Tordera,0.026562
21/07/2025,F019603,ATLL CGC - Cabalímetre ITAM Llobregat (Z05b ITAM),0.167936
20/07/2025,F019289,ATLL CGC - Blanes. ITAM Tordera,0.027104
20/07/2025,F019603,ATLL CGC - Cabalímetre ITAM Llobregat (Z05b ITAM),0.153024
19/07/2025,F019289,ATLL CGC - Blanes. ITAM Tordera,0.028745
19/07/2025,F019603,ATLL CGC - Cabalímetre ITAM Llobregat (Z05b ITAM),0.18344
18/07/2025,F019289,ATLL CGC - Blanes. ITAM Tordera,0.03085
18/07/2025,F019603,ATLL CGC - Cabalímetre ITAM Llobregat (Z05b ITAM),0.18224
17/07/2025,F019289,ATLL CGC - Blanes. ITAM Tordera,0.024787
17/07/2025,F019603,ATLL CGC - Cabalímetre ITAM Llobregat (Z05b ITAM),0.182384
16/07/2025,F019289,ATLL CGC - Blanes. ITAM Tordera,0.030734
16/07/2025,F019603,ATLL CGC - Cabalímetre ITAM Llobregat (Z05b ITAM),0.171024
15/07/2025,F019289,ATLL CGC - Blanes. ITAM Tordera,0.023055
15/07/2025,F019603,ATLL CGC - Cabalímetre ITAM Llobregat (Z05b ITAM),0.177616
14/07/2025,F019289,ATLL CGC - Blanes. ITAM Tordera,0.030612
14/07/2025,F019603,ATLL CGC - Cabalímetre ITAM Llobregat (Z05b ITAM),0.177072
13/07/2025,F019289,ATLL CGC - Blanes. ITAM Tordera,0.029213
13/07/2025,F019603,ATLL CGC - Cabalímetre ITAM Llobregat (Z05b ITAM),0.182256
12/07/2025,F019289,ATLL CGC - Blanes. ITAM Tordera,0.023369
12/07/2025,F019603,ATLL CGC - Cabalímetre ITAM Llobregat (Z05b ITAM),0.173472
11/07/2025,F019289,ATLL CGC - Blanes. ITAM Tordera,0.030375
11/07/2025,F019603,ATLL CGC - Cabalímetre ITAM Llobregat (Z05b ITAM),0.12904
10/07/2025,F019289,ATLL CGC - Blanes. ITAM Tordera,0.027531
10/07/2025,F019603,ATLL CGC - Cabalímetre ITAM Llobregat (Z05b ITAM),0.177648
09/07/2025,F019289,ATLL CGC - Blanes. ITAM Tordera,0.030009
09/07/2025,F019603,ATLL CGC - Cabalímetre ITAM Llobregat (Z05b ITAM),0.18
08/07/2025,F019289,ATLL CGC - Blanes. ITAM Tordera,0.030001
08/07/2025,F019603,ATLL CGC - Cabalímetre ITAM Llobregat (Z05b ITAM),0.14952
07/07/2025,F019289,ATLL CGC - Blanes. ITAM Tordera,0.017897
07/07/2025,F019603,ATLL CGC - Cabalímetre ITAM Llobregat (Z05b ITAM),0.17336
06/07/2025,F019289,ATLL CGC - Blanes. ITAM Tordera,0.023431
06/07/2025,F019603,ATLL CGC - Cabalímetre ITAM Llobregat (Z05b ITAM),0.181856
05/07/2025,F019289,ATLL CGC - Blanes. ITAM Tordera,0.029045
05/07/2025,F019603,ATLL CGC - Cabalímetre ITAM Llobregat (Z05b ITAM),0.182528
04/07/2025,F019289,ATLL CGC - Blanes. ITAM Tordera,0.031956
04/07/2025,F019603,ATLL CGC - Cabalímetre ITAM Llobregat (Z05b ITAM),0.174912
03/07/2025,F019289,ATLL CGC - Blanes. ITAM Tordera,0.024353
03/07/2025,F019603,ATLL CGC - Cabalímetre ITAM Llobregat (Z05b ITAM),0.014048
02/07/2025,F019289,ATLL CGC - Blanes. ITAM Tordera,0.030137
02/07/2025,F019603,ATLL CGC - Cabalímetre ITAM Llobregat (Z05b ITAM),0
01/07/2025,F019289,ATLL CGC - Blanes. ITAM Tordera,0.027604
01/07/2025,F019603,ATLL CGC - Cabalímetre ITAM Llobregat (Z05b ITAM),0.016048
30/06/2025,F019289,ATLL CGC - Blanes. ITAM Tordera,0.02551
30/06/2025,F019603,ATLL CGC - Cabalímetre ITAM Llobregat (Z05b ITAM),0.142992
29/06/2025,F019289,ATLL CGC - Blanes. ITAM Tordera,0.026132
29/06/2025,F019603,ATLL CGC - Cabalímetre ITAM Llobregat (Z05b ITAM),0.176384
28/06/2025,F019289,ATLL CGC - Blanes. ITAM Tordera,0.033331
28/06/2025,F019603,ATLL CGC - Cabalímetre ITAM Llobregat (Z05b ITAM),0.18256
27/06/2025,F019289,ATLL CGC - Blanes. ITAM Tordera,0.026258
27/06/2025,F019603,ATLL CGC - Cabalímetre ITAM Llobregat (Z05b ITAM),0.179696
26/06/2025,F019289,ATLL CGC - Blanes. ITAM Tordera,0.027086
26/06/2025,F019603,ATLL CGC - Cabalímetre ITAM Llobregat (Z05b ITAM),0.164976
25/06/2025,F019289,ATLL CGC - Blanes. ITAM Tordera,0.031638
25/06/2025,F019603,ATLL CGC - Cabalímetre ITAM Llobregat (Z05b ITAM),0.180688
24/06/2025,F019289,ATLL CGC - Blanes. ITAM Tordera,0.027356
24/06/2025,F019603,ATLL CGC - Cabalímetre ITAM Llobregat (Z05b ITAM),0.180832
23/06/2025,F019289,ATLL CGC - Blanes. ITAM Tordera,0.028378
23/06/2025,F019603,ATLL CGC - Cabalímetre ITAM Llobregat (Z05b ITAM),0.167792
22/06/2025,F019289,ATLL CGC - Blanes. ITAM Tordera,0.025513
22/06/2025,F019603,ATLL CGC - Cabalímetre ITAM Llobregat (Z05b ITAM),0.156528
21/06/2025,F019289,ATLL CGC - Blanes. ITAM Tordera,0.027705
21/06/2025,F019603,ATLL CGC - Cabalímetre ITAM Llobregat (Z05b ITAM),0.121472
20/06/2025,F019289,ATLL CGC - Blanes. ITAM Tordera,0.031408
20/06/2025,F019603,ATLL CGC - Cabalímetre ITAM Llobregat (Z05b ITAM),0.183056
19/06/2025,F019289,ATLL CGC - Blanes. ITAM Tordera,0.025271
19/06/2025,F019603,ATLL CGC - Cabalímetre ITAM Llobregat (Z05b ITAM),0.172032
18/06/2025,F019289,ATLL CGC - Blanes. ITAM Tordera,0.028714
18/06/2025,F019603,ATLL CGC - Cabalímetre ITAM Llobregat (Z05b ITAM),0.181984
17/06/2025,F019289,ATLL CGC - Blanes. ITAM Tordera,0.029719
17/06/2025,F019603,ATLL CGC - Cabalímetre ITAM Llobregat (Z05b ITAM),0.181536
16/06/2025,F019289,ATLL CGC - Blanes. ITAM Tordera,0.032474
16/06/2025,F019603,ATLL CGC - Cabalímetre ITAM Llobregat (Z05b ITAM),0.173904
15/06/2025,F019289,ATLL CGC - Blanes. ITAM Tordera,0.041375
15/06/2025,F019603,ATLL CGC - Cabalímetre ITAM Llobregat (Z05b ITAM),0.161696
14/06/2025,F019289,ATLL CGC - Blanes. ITAM Tordera,0.041256
14/06/2025,F019603,ATLL CGC - Cabalímetre ITAM Llobregat (Z05b ITAM),0.158064
13/06/2025,F019289,ATLL CGC - Blanes. ITAM Tordera,0.043968
13/06/2025,F019603,ATLL CGC - Cabalímetre ITAM Llobregat (Z05b ITAM),0.179984
12/06/2025,F019289,ATLL CGC - Blanes. ITAM Tordera,0.042393
12/06/2025,F019603,ATLL CGC - Cabalímetre ITAM Llobregat (Z05b ITAM),0.175936
11/06/2025,F019289,ATLL CGC - Blanes. ITAM Tordera,0.038425
11/06/2025,F019603,ATLL CGC - Cabalímetre ITAM Llobregat (Z05b ITAM),0.181168
10/06/2025,F019289,ATLL CGC - Blanes. ITAM Tordera,0.043378
10/06/2025,F019603,ATLL CGC - Cabalímetre ITAM Llobregat (Z05b ITAM),0.181664
09/06/2025,F019289,ATLL CGC - Blanes. ITAM Tordera,0.040154
09/06/2025,F019603,ATLL CGC - Cabalímetre ITAM Llobregat (Z05b ITAM),0.176992
08/06/2025,F019289,ATLL CGC - Blanes. ITAM Tordera,0.042122
08/06/2025,F019603,ATLL CGC - Cabalímetre ITAM Llobregat (Z05b ITAM),0.178032
