Dia,Volum
2019-05-22,1.79
2019-05-23,1.81
2019-05-24,1.81
2019-05-25,1.8
2019-05-26,1.78
2019-05-27,1.79
2019-05-28,1.82
2019-05-29,1.81
2019-05-30,0.88
2019-05-31,2.21
2019-06-01,2.88
2019-06-02,2.24
2019-06-03,2.65
2019-06-04,2.87
2019-06-05,2.9699999999999998
2019-06-06,3.08
2019-06-07,3.0599999999999996
2019-06-08,2.91
2019-06-09,3.1399999999999997
2019-06-10,3.1799999999999997
2019-06-11,2.13
2019-06-12,2.73
2019-06-13,2.8200000000000003
2019-06-14,2.95
2019-06-15,3.08
2019-06-16,3.06
2019-06-17,3.13
2019-06-18,3.16
2019-06-19,3.11
2019-06-20,3.13
2019-06-21,3.2
2019-06-22,3.21
2019-06-23,2.9699999999999998
2019-06-24,3.2
2019-06-25,1.72
2019-06-26,3.07
2019-06-27,3.17
2019-06-28,3.09
2019-06-29,3.0
2019-06-30,2.5
2019-07-01,1.8199999999999998
2019-07-02,3.13
2019-07-03,2.9699999999999998
2019-07-04,2.16
2019-07-05,1.04
2019-07-06,1.08
2019-07-07,1.09
2019-07-08,1.08
2019-07-09,1.09
2019-07-10,1.08
2019-07-11,1.8900000000000001
2019-07-12,3.25
2019-07-13,3.26
2019-07-14,3.24
2019-07-15,3.17
2019-07-16,3.21
2019-07-17,3.05
2019-07-18,2.83
2019-07-19,2.7
2019-07-20,2.81
2019-07-21,2.7800000000000002
2019-07-22,2.81
2019-07-23,2.88
2019-07-24,3.16
2019-07-25,2.54
2019-07-26,0.0
2019-07-27,0.01
2019-07-28,0.01
2019-07-29,0.0
2019-07-30,0.01
2019-07-31,0.01
2019-08-01,0.01
2019-08-02,0.01
2019-08-03,0.01
2019-08-04,0.01
2019-08-05,0.01
2019-08-06,0.01
2019-08-07,0.0
2019-08-08,0.01
2019-08-09,0.01
2019-08-10,0.0
2019-08-11,0.0
2019-08-12,0.0
2019-08-13,0.0
2019-08-14,0.0
2019-08-15,0.0
2019-08-16,0.0
2019-08-17,0.0
2019-08-18,0.0
2019-08-19,0.0
2019-08-20,0.0
2019-08-21,0.0
2019-08-22,0.0
2019-08-23,0.0
2019-08-24,0.0
2019-08-25,0.0
2019-08-26,0.0
2019-08-27,0.0
2019-08-28,0.0
2019-08-29,0.0
2019-08-30,0.0
2019-08-31,0.0
2019-09-01,0.0
2019-09-02,0.0
2019-09-03,0.0
2019-09-04,0.0
2019-09-05,0.0
2019-09-06,0.0
2019-09-07,0.0
2019-09-08,0.0
2019-09-09,0.0
2019-09-10,0.0
